timestamp,F,M,Unkown
2020-02-08T00:00:00.000Z,1,,
2020-02-09T00:00:00.000Z,,,
2020-02-10T00:00:00.000Z,,,
2020-02-11T00:00:00.000Z,,1,
2020-02-12T00:00:00.000Z,,,
2020-02-13T00:00:00.000Z,,,
2020-02-14T00:00:00.000Z,,,
2020-02-15T00:00:00.000Z,,,
2020-02-16T00:00:00.000Z,,,
2020-02-17T00:00:00.000Z,,,
2020-02-18T00:00:00.000Z,,1,
2020-02-19T00:00:00.000Z,,,
2020-02-20T00:00:00.000Z,,1,
2020-02-21T00:00:00.000Z,,,
2020-02-22T00:00:00.000Z,,1,
2020-02-23T00:00:00.000Z,,,
2020-02-24T00:00:00.000Z,2,2,
2020-02-25T00:00:00.000Z,1,4,
2020-02-26T00:00:00.000Z,2,1,
2020-02-27T00:00:00.000Z,4,5,
2020-02-28T00:00:00.000Z,2,2,
2020-02-29T00:00:00.000Z,4,12,
2020-03-01T00:00:00.000Z,7,9,
2020-03-02T00:00:00.000Z,7,9,
2020-03-03T00:00:00.000Z,18,16,
2020-03-04T00:00:00.000Z,24,26,
2020-03-05T00:00:00.000Z,37,44,
2020-03-06T00:00:00.000Z,47,57,
2020-03-07T00:00:00.000Z,15,12,
2020-03-08T00:00:00.000Z,28,31,1
2020-03-09T00:00:00.000Z,37,39,
2020-03-10T00:00:00.000Z,45,49,
2020-03-11T00:00:00.000Z,74,89,
2020-03-12T00:00:00.000Z,112,124,
2020-03-13T00:00:00.000Z,181,142,3
2020-03-14T00:00:00.000Z,76,91,
2020-03-15T00:00:00.000Z,101,100,2
2020-03-16T00:00:00.000Z,190,174,
2020-03-17T00:00:00.000Z,198,188,
2020-03-18T00:00:00.000Z,262,249,
2020-03-19T00:00:00.000Z,317,320,2
2020-03-20T00:00:00.000Z,329,304,3
2020-03-21T00:00:00.000Z,208,218,1
2020-03-22T00:00:00.000Z,213,243,
2020-03-23T00:00:00.000Z,621,571,1
2020-03-24T00:00:00.000Z,571,501,2
2020-03-25T00:00:00.000Z,551,488,3
2020-03-26T00:00:00.000Z,252,269,
2020-03-27T00:00:00.000Z,,,
2020-03-28T00:00:00.000Z,,,
2020-03-29T00:00:00.000Z,,,
